state,item_name,rasa,virya,vipaka,dosha_impact,effect_on_agni,best_use_case
Assam,Masor Tenga,Sour,Cooling,Sweet,Balancing for Pitta,Stimulates Agni,Ideal for hot weather or digestive issues
Assam,Pitha,Sweet,Heating,Sweet,Balancing for Vata,Strengthens Agni,Festive occasions or winter season
Assam,Khar,Bitter,Heating,Bitter,Balancing for Kapha,Enhances digestive fire,Detoxification or cleansing diet
Assam,Bhaap Pitha,Sweet,Heating,Sweet,Balancing for Vata,Promotes Agni,Breakfast or snack
Assam,Doi Maach,Sour,Cooling,Sweet,Balancing for Pitta,Stimulates Agni,Lunch with rice
Assam,Aloo Pitika,Savory,Neutral,Sweet,Balancing for Vata and Pitta,Soothing for Agni,Side dish with main meals
Assam,Duck Curry (Vegetarian Version),Savory,Heating,Sour,Balancing for Vata and Kapha,Enhances Agni,Special occasions or family gatherings
Assam,Chow chow Khar,Bitter,Heating,Bitter,Balancing for Kapha,Promotes healthy digestion,Detox meal or health-conscious diet
Assam,Masoor Dal,Savory,Heating,Sweet,Balancing for Vata,Enhances Agni,Daily protein source
Assam,Kharoli,Savory,Neutral,Neutral,Balancing for Vata and Pitta,Soothing for Agni,Light lunch or snack
Assam,Pani Nahar,Savory,Cooling,Sweet,Balancing for Pitta,Soothes Agni,Refreshing treat during summer
Assam,Khar-urad,Savory,Heating,Sour,Balancing for Kapha,Stimulating,Protein-packed meal
Assam,Khar Naram Daal,Savory,Neutral,Sweet,Balancing for Vata,Gentle on Agni,Comfort food during cold weather
Assam,Bamboo Shoot Curry,Savory,Heating,Neutral,Balancing for Vata,Enhances Agni,Side dish with rice
Assam,Haat Daal,Savory,Heating,Bitter,Balancing for Kapha,Supportive to Agni,Protein source for main meals
Assam,Patty,Savory,Heating,Sweet,Balancing for Vata,Enhances Agni,Appetizer or snack
Assam,Gondhoraj Lebur Pitha,Smooth,Neutral,Neutral,Balancing for all,Mild stimulant,Tea time snack
Assam,Bhaji,Savory,Heating,Bitter,Balancing for Kapha,Stimulates Agni,Snack or side dish
Assam,Pitha Bhog,Sweet,Heating,Sweet,Balancing for Vata,Enhances Agni,Special festivals
Assam,Bor Pitha,Savory,Heating,Sweet,Balancing for Vata,Strengthens Agni,Breakfast or snack
Assam,Narikol Laru,Sweet,Heating,Sweet,Balancing for Vata,Boosts Agni mildly,Sweet treat during festivals
Assam,Muri,Savory,Neutral,Sweet,Balancing for Vata,Light on Agni,Light snacks anytime
Assam,Masor Tenga,Amla,Ushna,Amla,Pitta+,Stimulating,Digestive issues and hydration
Assam,Aloo Pitika,Madhura,Shita,Madhura,Vata+,Balancing,Comfort food and a calming effect
Assam,Pitha,Madhura,Shita,Madhura,Vata+,Balancing,Festive occasions and snack
Assam,Khar,Amla,Ushna,Katu,"Pitta+, Vata-",Stimulating,Detoxification
Assam,Baanhgaja,Madhura,Ushna,Madhura,"Vata+, Pitta-",Slightly stimulating,Snack during tea time
Assam,Shidur Joly,Madhura,Shita,Madhura,Vata-,Soothing,Dessert or sweet dish
Assam,Dhekia Bhaji,Katu,Ushna,Katu,Vata+,Stimulating,Side dish for main meals
Assam,Narikol Pitha,Madhura,Shita,Madhura,Vata-,Calming,Sweet snack or dessert
Assam,Kharoli,Katu,Ushna,Katu,Kapha+,Stimulating,Appetizer or side dish
Assam,Paro Khar,Katu,Ushna,Katu,Pitta-,Enhancing,Weight management
Assam,Chura Doi,Madhura,Shita,Madhura,Kapha+,Cooling,Refreshing dessert
Assam,Ghughuni,Ushna,Ushna,Amla,"Vata-, Kapha-",Agni enhancing,Snacking or appetizer
Assam,Khar Pitha,Katu,Ushna,Katu,Kapha-,Stimulating,Festive snack
Assam,Alu Muri,Madhura,Shita,Madhura,Vata+,Balancing,Evening snack or tiffin
Assam,Luit Pitha,Madhura,Shita,Madhura,Kapha-,Slightly enhancing,Breakfast or snack
Assam,Macher Jhol,Amla,Ushna,Amla,"Pitta+, Vata-",Stimulating,Main dish with rice
Assam,Tandoori Roti,Madhura,Ushna,Madhura,Kapha+,Balancing,Accompaniment with meals
Assam,Pepper Bhaji,Katu,Ushna,Katu,Pitta+,Enhancing,Side dish for winter
